Date,Spot_Price,Total OI,Market Cap,OI to Market Cap %,pct change,Futures Price,Funding Rate (Calculated),Funding Rate %
2022-12-13,17207.3,9583383635.0,341693366962.5,2.80467359381072,0.804335090802577,17745.0,537.7000000000007,0.004991333333333334
2022-12-14,17767.0,10107943230.0,342846272812.5,2.9482435807397436,3.2526892656024042,17795.0,28.0,0.01
2022-12-15,17790.9331,10164641937.0,333822340312.5,3.0449256114748366,0.1347053526200126,17395.0,-395.9330999999984,0.008393333333333334
2022-12-16,17353.0,10041676084.0,323389327500.0,3.105135275065625,-2.4615521712011756,16775.0,-578.0,0.0028536666666666662
2022-12-17,16624.15,9409384239.0,320786310625.0,2.933224993506532,-4.200138304615908,,,0.006509999999999999
2022-12-18,16769.0,9469479784.0,322667966718.75,2.9347443070647197,0.8713227443207572,16670.0,-99.0,0.004151666666666667
2022-12-19,16743.7,9254960675.0,319528717087.5,2.896440970739295,-0.15087363587571456,16495.0,-248.70000000000073,0.0048189999999999995
2022-12-20,16433.5,9308122402.0,325700945831.25,2.8578739242663,-1.8526371112717044,16840.0,406.5,0.0030000000000000005
2022-12-21,16895.6,9423043355.0,323846522800.0,2.9097250368871337,2.8119390269875533,16735.0,-160.59999999999854,0.006367333333333333
2022-12-22,16826.0,9332685201.0,323825819625.0,2.8820077447213843,-0.411941570586416,16735.0,-91.0,0.0060943333333333335
2022-12-23,16816.8,9437229282.0,324684340337.5,2.906585908082377,-0.05467728515393677,16780.0,-36.79999999999927,0.009634333333333333
2022-12-24,16780.0,9474788988.0,324579432675.0,2.919097155945511,-0.2188287902573527,,,0.00699
2022-12-25,16839.72,9413288429.0,324094395450.0,2.904489729274644,0.3558998808105063,,,0.001812
2022-12-26,16832.0,9376203198.0,324588126325.0,2.8886463914000045,-0.0458439926554699,16920.0,88.0,0.0003753333333333334
2022-12-27,16926.1595,9387944769.0,320924408750.0,2.9252822512210983,0.5594076758555167,16595.0,-331.1595000000016,0.0039026666666666667
2022-12-28,16697.0,9510490751.0,317689801587.5,2.993640558644299,-1.3538777062806373,16570.0,-127.0,0.005375666666666667
2022-12-29,16541.77,9648628239.0,320435394725.0,3.011099397206268,-0.9296879678984182,16585.0,43.22999999999956,0.009505666666666667
2022-12-30,16622.5,9709488338.0,319510471250.0,3.038863890755818,0.4880372535708055,16498.1,-124.40000000000146,0.009044
2022-12-31,16596.475,9375814342.0,319679710800.0,2.932877509973023,-0.15656489697699616,,,0.01
2023-01-01,16531.0,9105879724.0,320195767150.0,2.8438476264223156,-0.39451148511957523,,,0.006897
2023-01-02,16614.56,9216613757.0,321850885893.75,2.8636285189665767,0.5054745629423651,16652.5,37.93999999999869,-0.0010580000000000001
2023-01-03,16671.0,9436122203.0,321153314475.0,2.9381986041232495,0.3397020444718235,16615.0,-56.0,0.0074329999999999995
2023-01-04,16680.69,9275583673.0,323844515268.75,2.8642089755024687,0.05812488752923173,16780.0,99.31000000000131,0.004936
2023-01-05,16850.0,9291219815.0,324552562031.25,2.862778145040612,1.015005973973504,16840.0,-10.0,0.005705666666666667
2023-01-06,16834.0781,9012892370.0,327459687093.75,2.752367001260725,-0.09449198813057391,16895.0,60.92190000000119,0.006945333333333334
2023-01-07,16953.0,9451118342.0,326475307000.0,2.894895307350151,0.7064354774497739,,,0.004393
2023-01-08,16935.935,9013607089.0,328515676750.0,2.7437372785894,-0.10066065003243585,16960.0,24.06499999999869,0.007703000000000001
2023-01-09,17133.5,9141016334.0,331592955362.5,2.7566979895598114,1.1665432112251128,17225.0,91.5,0.002011666666666667
2023-01-10,17176.61,9092232271.0,336848455762.5,2.699205567209313,0.25161233840138575,17535.0,358.3899999999994,0.005076999999999999
2023-01-11,17452.0,9696753214.0,334917596687.5,2.895265375694101,1.603284932242155,17615.0,163.0,0.0016756666666666667
2023-01-12,17932.18,9727254640.0,364347095100.0,2.6697769162480145,2.7514325005729923,19155.0,1222.8199999999997,0.009183
2023-01-13,18861.5,10036745433.0,382568064737.5,2.623518886733721,5.182415077252189,19550.0,688.5,0.009053333333333333
2023-01-14,19927.104,10526675725.0,404972172000.0,2.5993577961203713,5.6496248972775165,,,0.021530999999999998
2023-01-15,20962.5,10233437705.0,402220705500.0,2.544234437727125,5.195918082226103,20972.5,10.0,0.015345999999999999
2023-01-16,20885.01,10273945783.0,409539089356.25,2.508660601641104,-0.36966010733453514,21257.5,372.4900000000016,0.01
2023-01-17,21199.0,10558606477.0,408848727150.0,2.5825215479088963,1.5034227898382602,21485.0,286.0,0.01
2023-01-18,21139.0369,10743363841.0,400871173181.25,2.6800040910256455,-0.2828581536864938,20800.0,-339.03689999999915,0.01
2023-01-19,20685.0,10623478420.0,404742919350.0,2.624747194357558,-2.147859915037087,21200.0,515.0,0.01
2023-01-20,21087.5,10832301589.0,412118305793.75,2.6284446569624516,1.9458544839255465,22390.0,1302.5,0.01
2023-01-21,22674.0,11095275042.0,447997710937.5,2.4766365477139454,7.523414344991108,,,0.01
2023-01-22,22782.44,11063525498.0,437249755431.25,2.5302531014770455,0.47825703448882706,22770.0,-12.43999999999869,0.01
2023-01-23,22718.0,10987965419.0,440236000312.5,2.4959261421601666,-0.2828494226254863,23090.0,372.0,0.01
2023-01-24,22933.6345,11066640923.0,436981829375.0,2.5325174135565853,0.9491790650585363,23065.0,131.36549999999988,0.01
2023-01-25,22648.5,11077762772.0,441474441656.25,2.50926480147759,-1.2433027133139318,22940.0,291.5,0.01
2023-01-26,23063.691,10917571171.0,443138467500.0,2.463692947396854,1.8331942512749055,23075.0,11.309000000001106,0.01
2023-01-27,23022.0,10516528955.0,445799621387.5,2.359025995192305,-0.18076464864188457,23052.7,30.700000000000728,0.009847
2023-01-28,23073.7408,10634204760.0,444087092550.0,2.3946214466484834,0.22474502649638683,,,0.01
2023-01-29,23034.0,10679351989.0,457704184000.0,2.3332432523710556,-0.17223388415631424,23932.5,898.5,0.01
2023-01-30,23752.1,11459130969.0,439465035543.75,2.607518241996572,3.1175653381956936,22967.5,-784.5999999999985,0.01
2023-01-31,22831.0,10835797323.0,443358462487.5,2.444026276662195,-3.8779728950282255,23250.0,419.0,0.01
2023-02-01,23130.62,11052353097.0,444917877250.0,2.484133288892248,1.3123384871446708,23755.0,624.380000000001,0.01
2023-02-02,23754.5,11188436822.0,458108515850.0,2.44231146876638,2.6972039659983293,24005.0,250.5,0.01
2023-02-03,23493.793,11085146681.0,450628666475.0,2.4599293177934083,-1.097505735755322,23485.0,-8.793000000001484,0.01
2023-02-04,23450.0,11066922686.0,451841352837.5,2.449293898511344,-0.1864024255257557,,,0.01
2023-02-05,23315.48,11057782165.0,441165032468.75,2.506495608484854,-0.5736460554371048,23052.5,-262.97999999999956,0.01
2023-02-06,22953.0,11107190930.0,442998696850.0,2.507273951137809,-1.5546752629583382,23110.0,157.0,0.01
2023-02-07,22765.79,11034657019.0,447435198675.0,2.466202268323364,-0.8156232300788546,23300.0,534.2099999999991,0.01
2023-02-08,23250.0,11105837595.0,443479440975.0,2.5042508330450572,2.1269193821079835,22885.0,-365.0,0.01
2023-02-09,22931.136,11221666662.0,421385822475.0,2.6630384942924272,-1.37145806451614,22010.0,-921.1359999999986,0.01
2023-02-10,21803.0,10450899248.0,419588956937.5,2.490746973962119,-4.919669047359876,21775.0,-28.0,0.01
2023-02-11,21649.41,10401531822.0,420731461631.25,2.472249586867459,-0.7044443425216707,,,0.0061656666666666665
2023-02-12,21861.5,10411078220.0,420636858525.0,2.4750751174082457,0.9796571823435407,21817.5,-44.0,0.005871
2023-02-13,21796.79,10273725136.0,416742375225.0,2.465246096093107,-0.29599981702993494,21710.0,-86.79000000000087,0.006132333333333333
2023-02-14,21774.0,10293694347.0,426425206343.75,2.4139507219237983,-0.10455668013501507,22335.0,561.0,0.009629
2023-02-15,22222.126,10598731421.0,468546929112.5,2.2620426605026798,2.058078442178757,24250.0,2027.8739999999998,0.004692666666666667
2023-02-16,24364.5,11538129712.0,460606006012.5,2.5049889843787394,9.640724744338147,24640.0,275.5,0.014390333333333333
2023-02-17,23526.0,10956914952.0,474328612800.0,2.309983976577008,-3.44148248476267,24870.0,1344.0,0.01
2023-02-18,24550.683,11590457345.0,474776153325.0,2.441246735715041,4.355534302473862,,,0.01
2023-02-19,24653.5,11774677366.0,471871720200.0,2.495313209490362,0.4187948661143137,24345.0,-308.5,0.01
2023-02-20,24303.559,11693661602.0,478568855000.0,2.443464818035432,-1.4194374023972167,24895.0,591.4409999999989,0.01
2023-02-21,24859.0,12089759219.0,468444355087.5,2.580831445122606,2.285430705848479,24490.0,-369.0,0.01
2023-02-22,24432.0,11980070637.0,466575797100.0,2.5676579692864654,-1.71768775896054,23800.0,-632.0,0.01
2023-02-23,24195.0,11804896389.0,461429480450.0,2.558331638777719,-0.9700392927308399,23920.0,-275.0,0.005712333333333333
2023-02-24,23943.32,11590978905.0,447339132143.75,2.5910943336107026,-1.0402149204381095,23576.1,-367.22000000000116,0.005122333333333334
2023-02-25,23192.0,11126971132.0,444476669100.0,2.503386995436787,-3.137910699101043,,,0.0005816666666666666
2023-02-26,23174.4045,11284454625.0,453554220193.75,2.488005650168901,-0.07586883408071676,23665.0,490.59549999999945,0.0055709999999999996
2023-02-27,23560.0,11249525437.0,450331934725.0,2.4980518967347147,1.6638852575478147,23610.0,50.0,0.005388666666666667
2023-02-28,23516.97,11111861925.0,448846459081.25,2.4756487881724683,-0.18264006791171017,23410.0,-106.97000000000116,0.0037830000000000003
2023-03-01,23130.0,11122022057.0,456495192825.0,2.4363941245847225,-1.645492595347109,23530.0,400.0,0.0067283333333333336
2023-03-02,23649.37,11167635424.0,454492698056.25,2.457164982355304,2.2454388240380485,23590.0,-59.36999999999898,0.00857
2023-03-03,23469.0,11385406224.0,429685213343.75,2.6497086402858425,-0.7626841645253069,22320.0,-1149.0,0.0018570000000000001
2023-03-04,22362.2286,10378381441.0,430825818987.5,2.4089506672071384,-4.715886488559384,,,0.0021486666666666668
2023-03-05,22349.0,10130953472.0,433843177925.0,2.3351648677419963,-0.05915600022082801,22455.0,106.0,0.0020413333333333334
2023-03-06,22418.5849,10036829673.0,434341376393.75,2.310815920033638,0.3113557653586341,22390.0,-28.584900000001653,0.004976
2023-03-07,22403.0,10132112209.0,427626105600.0,2.3693857966841585,-0.06951776871519932,22070.0,-333.0,0.0027263333333333336
2023-03-08,22187.7105,9926393092.0,419304858000.0,2.3673451195740736,-0.96098513591929,22115.0,-72.71050000000105,0.005577666666666666
2023-03-09,21713.0,9808370869.0,403058788187.5,2.433483937444187,-2.1395199833709744,20065.0,-1648.0,0.01
2023-03-10,20364.898,8954595938.0,390312331587.5,2.2942129195814465,-6.2087320959793635,19965.0,-399.89800000000105,-0.003338666666666667
2023-03-11,20171.0,8979429528.0,392048892562.5,2.290385127556127,-0.9521186897179734,,,-0.0007576666666666666
